text,label
reschedule saturday call conflict morning,0
quarterly budget review scheduled sunday please prepare department numbers,0
package held customs pay fee httpcustomscom,1
send people receive bill gates,1
paypal account limited verify immediately httppaypalcom,1
free trial premium service credit card needed sign httpfreecom,1
selected cash reward act fast expires soon,1
reminder team standup today agenda shared doc,0
thanks email ill get back end day saturday,0
michael subscription renews thursday let know youd like make changes,0
congratulations youve prize click claim httpprizecom,1
hey free weekend planning hike saturday,0
double investment hours secret trading algorithm,1
computer virus call immediately free removal,1
free iphone limited offer reply yes claim,1
winner email lottery send bank details collect,1
reminder rent due next weekth please transfer convenience,0
quick question get chance look spreadsheet sent,0
reminder team standup noon today agenda shared doc,0
refinance mortgage get cash back credit check needed,1
computer virus call immediately free removal,1
urgent account suspended verify httpsecurenet,1
library book reserved available pickup expires,0
winner email lottery send bank details collect,1
claim youve chosen amazon gift card,1
computer virus call immediately free removal,1
nigerian prince needs help transfer reward,1
urgent account suspended verify httpsecurenet,1
nigerian prince needs help transfer reward,1
computer virus call immediately free removal,1
please find attached report discussed last meeting,0
owe taxes pay immediately face arrest irs notice,1
congratulations youve prize click claim httpprizecom,1
monthly newsletter heres happened community march,0
hot singles area waiting meet tonight httpdatecom,1
package held customs pay fee httpcustomscom,1
selected cash reward act fast expires soon,1
congratulations youve prize click claim httpprizecom,1
claim youve chosen amazon gift card,1
reminder rent due tuesdayth please transfer convenience,0
library book reserved available pickup expires sunday,0
free trial premium service credit card needed sign httpfreecom,1
last chance confirm subscription lose access click httpsubnet,1
invoice attached please process,0
jessica wanted follow proposal sent last week feedback,0
happy birthday emily hope wonderful day,0
password recently changed wasnt contact support immediately,0
send people receive bill gates,1
team please welcome david joining new data analyst starting wednesday,0
cheap meds online vgra cals discreet shipping order,1
sarah insurance renewal due wednesday review policy attached,0
selected cash reward act fast expires soon,1
free trial premium service credit card needed sign httpfreecom,1
jessica insurance renewal due review policy attached,0
meet beautiful asian women seeking marriage visit httpbridecom,1
claim youve chosen amazon gift card,1
fyi project deadline moved please update plans,0
winner email lottery send bank details collect,1
please review sign attached nda meeting next week,0
make per day working home experience needed join,1
prescription drugs prescription needed httppharmacycom,1
sarah subscription renews friday let know youd like make changes,0
urgent account suspended verify httpsecurenet,1
